category,sub_network,mean,std,count
SC_Binary,band1,-0.001183,0.01256,6
SC_Binary,band1-vs-band2,0.0004109,0.0008218,4
SC_Binary,band2,-0.001756,0.01267,6
SC_Binary,gap1,0.0384,0.08087,6
SC_Binary,gap1-vs-gap2,0,0,4
SC_Binary,gap2,-0.1217,0.3061,6
SC_Binary,pi,-0.002707,0.00986,9
SC_Binary,sigma,-0.007779,0.03527,9
SC_Binary,sigma-vs-pi,0.003057,0.02899,6
SC_Binary,single,-0.06551,0.1869,174
SC_HeavyFermion,single,-0.007521,0.03149,18
SC_HighPressure,H1-optic-sigma,-0.0942,0.08618,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001589,0.01224,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.003211,0.03819,240
SC_IronBased,electron-band,-0.004219,0.01895,27
SC_IronBased,gap1,-0.003701,0.01672,3
SC_IronBased,gap2,0.009908,0.01622,3
SC_IronBased,hole-band,-0.004376,0.01456,27
SC_IronBased,hole-band-vs-electron-band,0.0003548,0.005507,18
SC_IronBased,pi,-0.003344,0.03794,3
SC_IronBased,sigma,-0.029,0.01803,3
SC_IronBased,single,-0.002473,0.02051,36
SC_Molecular,single,-0.004002,0.0126,30
SC_Oxide,single,-0.006739,0.0203,42
SC_TypeI,gap1,-0.003347,0.003917,3
SC_TypeI,gap1-vs-gap2,-0.01489,0.02105,2
SC_TypeI,gap2,0.006044,0.01771,3
SC_TypeI,single,-0.03831,0.0691,27
SC_TypeII,single,-0.1549,0.377,54
Superfluid,0-bar,-0.1015,0.05074,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004835,0.004902,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.04567,0.05668,6
