category,sub_network,mean,std,count
SC_Binary,pi,-0.006084,0.01017,6
SC_Binary,sigma,-0.008243,0.04439,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.0233,0.05002,30
SC_HeavyFermion,single,-0.0101,0.03251,18
SC_HighPressure,H1-optic-sigma,-0.09423,0.0862,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001535,0.01221,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.002384,0.03942,213
SC_IronBased,pi,-0.003611,0.03781,3
SC_IronBased,sigma,-0.02927,0.01801,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.002572,0.02051,36
SC_Molecular,single,-0.001159,0.01494,12
SC_Oxide,single,-0.01487,0.03352,18
SC_TypeI,single,-0.03972,0.07002,27
SC_TypeII,single,-0.06549,0.08532,27
Superfluid,0-bar,-0.1207,0.06131,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004872,0.004915,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.05414,0.06758,6
