category,sub_network,mean,std,count
SC_Binary,pi,-0.006055,0.01017,6
SC_Binary,sigma,-0.008213,0.04439,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02323,0.04997,30
SC_HeavyFermion,single,-0.009752,0.03237,18
SC_HighPressure,H1-optic-sigma,-0.09423,0.0862,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001541,0.01221,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.002374,0.03942,213
SC_IronBased,pi,-0.003575,0.03782,3
SC_IronBased,sigma,-0.02923,0.01801,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.00256,0.02051,36
SC_Molecular,single,-0.001098,0.01485,12
SC_Oxide,single,-0.0146,0.03289,18
SC_TypeI,single,-0.03953,0.06989,27
SC_TypeII,single,-0.06484,0.08456,27
Superfluid,0-bar,-0.1181,0.05988,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004867,0.004913,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.05301,0.06611,6
